,stopword,rating,sentiment
53,aneh bgt aplikasi buka sertifikat vaksin nggak pdahal udah vaksin status vaksin udah warna hijau pas bener  dibutuhin tpi nggak digunain wajib aplikasi nggak sih wajib aplikasi tpi nggak maksimal aplikasi,1.0,negative
54,aneh stuck syarat bijak doang udh downloas cape habis hbisin kouta aja slnjutnya cranya gimana tlng solusi,2.0,negative
55,aneh verifikasi gk bisamentok halaman distujui,1.0,negative
56,aneh ngeheng gabisa buka,1.0,negative
57,aneh ni apk udah cek in pas cek out notif kalo cek in,1.0,negative
58,aneh newest version henti syarat menu login tolong kemanamana scan giat seharihari besok,1.0,negative
59,anjing bngetaplikasi taiko gk bsa d buka,1.0,negative
60,aplikasi yg serupasoalnya download hapusdownload masuk,1.0,negative
61,chatbot sertifikat vaksin barusan masuk wa,1.0,negative
62,bngt anying nyari sertifikat banget ngiriim kode otp nya,1.0,negative
63,dah sertifikat vaksin pas periksa pas klik gk periksa wkwk bad,1.0,negative
64,dlu gampang bgt masuk skrg susah bgtda ganti hp x ttp susah,1.0,negative
65,gjls sertifikat nya ga muncul muncul udah vaksin,1.0,negative
66,stak syarat bijak aja,1.0,negative
67,kalo android versi lha versi gak pake app gto lha ngko lek gk pke gk masuk mall,1.0,negative
68,aplikasi tablet checklist muncul size font layar atur,1.0,negative
69,aplikasi orangdan aplikasi orang lebihsoal nya hp,2.0,negative
70,upgrade,5.0,positive
71,gak buka boro boro masuk jelajah suruh ngisi tuju doang klik eh gak masuk gak ad aplikasi yg aneh,1.0,negative
72,apk gak log in,1.0,negative
73,apk sih bug,1.0,negative
74,apk update ga login stuck warga negara klik tuju nya tombol palig bawa scroll akibat ga login tolong developer apk nya sulit masuk ruang scan barcode,1.0,negative
75,apk mudah bagus sulit,1.0,negative
76,apk burik download gk login tolong,1.0,negative
77,apk buruk reload mulu bagus september,1.0,negative
78,apk cacad gak buka,1.0,negative
79,apk ga ga d gunain,1.0,negative
80,apk ga udh aktifin gps bilang lokasi gapernah gps nya,1.0,negative
81,apk gak gak cek sertifikat vaksin,1.0,negative
82,apk gk bs d bk gimana mw masukin data,3.0,negative
83,apk bagus terima kasih peduli lindung karna apk akses sertifikat vaksin,5.0,positive
84,    ,5.0,positive
85,apk batu lihat sertipikat vaksintinggal buka apk hp poko apk bantu makasih,5.0,positive
86,apk pake gak peke kouta gak sampe kouta habis,1.0,negative
87,apk cocok,1.0,negative
88,apk ny tibak bagus cek sertifikat vaksin kali nya tolong tindak plis,2.0,negative
89,apk nya bagus banget download gak kendala ntah ngeluh gak login untung lancar  aja tuhh,5.0,positive
90,apk nya bagussejak pakai gak kendala sih kolom ulas yg gak bisabanyak kendala hp yg kentangbkn apk nya yg salah awokwok,4.0,positive
91,apk nya ga buka,1.0,negative
92,apk nya ga buka aneh,1.0,negative
93,apk nya ga buka klo apk pedulilindungi klo susah buka coba tolong yg gampangaja,1.0,negative
94,apk nya gak buka gimana sih,2.0,negative
95,apk nya tingkat sy bru download udh zonk ga buka ,3.0,negative
96,apk nya nggak responsif ya pas masuk udah responsif nggak responsif gak suka apk,3.0,negative
97,apk nya bantu,5.0,positive
98,apk nya error dukung tolo stabil apknya,1.0,negative
99,apk susah akses bikin batre hp cepat habis ngisi tanggal lahir manual,1.0,negative
100,apk preeet vaksin tdk muncul sertifikat nya kasi nomor adu bilang mohon maaf layan castemer tdk mutu tugas layan sehat mesin yg suruh kecewa,1.0,negative
101,apk rusak gak login hp inch layar potong gak optimal perintah,1.0,negative
102,apk bagus,5.0,positive
103,apk bagus suntik vaksin silah vaksin cepat mumpung gratis prebayar,5.0,positive
104,apk bantu,5.0,positive
105,apk jelek yg,1.0,negative
106,apk,1.0,negative
107,apk bagus bermanpaat,5.0,positive
108,apknya lumayan bagus,5.0,positive
109,apknya susah gk pake hapus aja lh,1.0,negative
110,apl ak yg gk bsa buka,5.0,negative
111,apl eror pakai ebsensi kerja bikin ruwet pulang check out otomatis bikin ruwet,1.0,negative
112,apl ga,1.0,negative
113,apl gk kn nih,1.0,negative
114,apl hancur ga sial,1.0,negative
115,apl payah masak gak lihat sertifikat vaksin udah daftar vaksin x,1.0,negative
116,apl peduli lindung tdk buka knapa,3.0,negative
117,aplikasai gak gunakangak kasih bintang tar kalo bagus kasih bintang yg bwanyak trimakasih tolong,1.0,negative
118,aplikasi sampah kasih bintang gak rela,1.0,negative
119,aplikasi abal abal,1.0,negative
120,aplikasi abal gimana gak,1.0,negative
121,aplikasi ampas liat sertifikat masuk nik nama pas liat sertifikat isi nik aplikasi mudah memperibet orang hapus aplikasi,1.0,negative
122,aplikasi ampas pake ni aplikasi aplikasi crash,1.0,negative
123,aplikasi aneh vaksin sertifikat ga adu susah,2.0,negative
124,aplikasi aneh layar hp masak tulis tuju muncul megunakan aplikasi yg milik hp layar besarsungguh fleksibel,1.0,negative
125,aplikasi aneh tombol login no hpcuma liat ujung kiri untung mata tajam woy,1.0,negative
126,aplikasi anehabis lock outmalah g bs login lg,1.0,negative
127,aplikasi anjeng ngk skroll sih tolong solusi gua udah habis kuota donlot ulang tetep aja ngk,1.0,negative
128,aplikasi aja daftar gajelas,1.0,negative
129,aplikasi bikin susah bikin lambat kerja ojol kalomau gedunggak bsa d akses g bsa login aplikasi gak,1.0,negative
130,aplikasi login g bisabikin antri kantor aja sertifikat faksin aja kadang mucul kadang,2.0,negative
131,aplikasi gak diem aja udah tuju bikin sakit hati,1.0,negative
132,aplikasi gak fungsi udh tipu aplikasi buruk masyarakat wajib aplikasi aplikasi dukung,1.0,negative
133,aplikasi inigak daftarsudah cheklist setujutapi dilanjutbuat ribet rakyat,1.0,negative
134,aplikasi ni gak sial,1.0,negative
135,aplikasi ga tolong,1.0,negative
136,aplikasi daftar aja g,1.0,negative
137,aplikasi susah buka,1.0,negative
138,aplikasi tolong lokasi dah nyala bilang lokasi dah update ga buka,1.0,negative
139,aplikasi udah ber kali d dawnload tetep aja ga buka ngehabisin kuota aja nya cepat mudah ngebuka sartifikat vaksin nyata nya susah musingin sue,1.0,negative
140,aplikasi woii notif sayang nya aplikasi peduli lindung henti aplikasi nya salah hp gua aneh gakk gunaa gua kritik das orang gila kena covid orang gila sehat suka makan kotor kena covid mati nya rumah sakit mohon yaa makas,1.0,negative
141,aplikasi cek sertifikat trs tekan robot gambar yg bus tp perintah nya lampu lintas pantes aja sistem indonesia tolol hacker rekrut mbenahi sistem yg lemah laporin polisi indonesia bodoh,1.0,negative
142,aplikasi pake bhs inggris isi,1.0,negative
143,aplikasi inidibuka cm bijak privasi doang,1.0,negative
144,aplikasi iniga bergunaudh ga bikin aplikasi inikecewa ga pakaiudah ratus kali loginbaik pake nomor henpon pake email hasil nya tetep ga bisaselalu pilih masuk henpon emailkecewaaplikasi jelek,1.0,negative
145,aplikasi kaya gin gak bukabikin jengkel doang,1.0,negative
146,aplikasi kek tai,1.0,negative
147,aplikasi nih ga loginbukan nya mudah sulit,1.0,negative
148,aplikasi sih apk perintah indo gak becus ya emang masuk bank,1.0,negative
149,aplikasi asam timbang mudah cth nya tanggal lahir scroll habis,1.0,negative
150,aplikasi bad ga buka,1.0,negative
151,aplikasi bego bikin susah masyarakat aja,1.0,negative
152,aplikasi bego checkin checkout gk kantor absen pake ginian tolol banget bintang gk w rubah nyusahin bego,1.0,negative
153,aplikasi jalan paksa gg nyusahin doang,1.0,negative
154,aplikasi tayang publis pas buka sertifat vaksin kagak vaksin,1.0,negative
155,aplikasi manfaat yg vaksin,5.0,positive
156,aplikasi tuju bisnis bantu sosial ekonomi rakyat indonesia,1.0,negative
157,aplikasi beta ga buka,1.0,negative
158,aplikasi bikin emosi salah mulu heran,1.0,negative
159,aplikasi bikin nguras kerja atauran udah masuk nunggu masuk udah pas baharu mala susah masuk bikin ribet,1.0,negative
160,aplikasi bikin puasing muter muter trus jelek banget,1.0,negative
161,aplikasi bikin pusing gak login eror bikin pusing masyarakatampunnn dahhh aplikasi buruk,1.0,negative
162,aplikasi bikin ribet,5.0,negative
163,aplikasi bikin ruwet,1.0,negative
164,aplikasi bosoook liat nomor verifikasi email gilir masuk verifikasi lagiterus terusampe jebot hape gak,1.0,negative
165,aplikasi buruk apk nya bego,1.0,negative
166,aplikasi buruk gak log in,1.0,negative
167,aplikasi burukharus ulang cek masukblom lg aplikasi nutup sendirimohon bersamamasak negara kalah ama aplikasi yg ecek,2.0,negative
168,aplikasi cacat download sisa memory mb gabsa,1.0,negative
169,aplikasi cacat ga scroll tulis ubah tetpp masuk gimana sih aplikasi perintah tolong ga tanggap usaha gitu,1.0,negative
170,aplikasi cek vaksin aplikasi namatin captcha,1.0,negative
171,aplikasi crash login buka,1.0,negative
172,aplikasi bantu lancar mobilisasi kerja sopir terbit esertifikat vaksin terbitmuncul aplikasi semenjak selesai vaksinasi,4.0,positive
173,aplikasi hp gede nih ga ngerti masyarakat hp nya gabisa daftar aplikasi mandang ekonomi ni blok,1.0,negative
174,aplikasi dak dibukagmana,1.0,negative
175,aplikasi eror tolong baikin,1.0,negative
176,aplikasi erormau unggah kartu vaksin g bisasudah tuju g skroleror terusg,1.0,negative
177,aplikasi error perbaikigimana bukti vaksin kalo aplikasi error,1.0,negative
178,aplikasi g,1.0,negative
179,aplikasi ga,1.0,negative
180,aplikasi ga,1.0,negative
181,aplikasi ga ga scroll kbawah kirain aja eh yg lai samaperbaiki update yg cpet kluarkan klo gni ssah login,1.0,negative
182,aplikasi ga login aja susah,1.0,negative
183,aplikasi ga vaksin udah muncul sertifikat yg update ga muncul sertifikat nya cek in error mulu payah,1.0,negative
184,aplikasi gaje rusak gw dah masuk nik ko ga terima,1.0,negative
185,aplikasi gajelas bikin gua emosi kirim otp nomor yg tuju nyata kirim gmail captcha yg ribet udh udh bener disalahin,1.0,negative
186,aplikasi gak akurat d vaksinasitapi sertifikasi mlaah d suruh vaksin lgi,1.0,negative
187,aplikasi gak mutu,1.0,negative
188,aplikasi gak buka kecuali ukur huruf mohon mudah,3.0,negative
189,aplikasi gak gulir macet,1.0,negative
190,aplikasi gak masuk,4.0,negative
191,aplikasi gak,1.0,negative
192,aplikasi gak masak gak geser aplikasi nya nyoba pakek hp lgi geser tpi gak muncul sertifikat vaksin nya gak aplikasi nya,1.0,negative
193,aplikasi gak gak dipake suruh download,1.0,negative
194,aplikasi gak pas instal masuk menu utama stak ga  in,1.0,negative
195,aplikasi gak gak login mentok tulis tuju doang,1.0,negative
196,aplikasi gak gak tingkat mutu gak update sdh vaksin dr september skrg tdk sertifikat parah,3.0,negative
197,aplikasi gak suruh download udah instal stuck tanda ceklis rating aja perbaikin kerja bener,1.0,negative
198,aplikasi gak diupdate gak buka,1.0,negative
199,aplikasi gak komplit daftar tuju gak bisapayah,1.0,negative
200,aplikasi gak mutu,5.0,negative
201,aplikasi gak otomatis update vaksin status merah alias vaksin,3.0,negative
202,aplikasi gaplekdi install tombol tuju g adaterus pakai ga login,1.0,negative
203,aplikasi gk manfaat udah vaksin lengkap tpi status merah layan buruk komplain gmail ya tpi gk heeedeeeh udah telpon tpi gk respon yg vaksin ulang udah vaksin dosis lengkap bantu aplikasi parah,1.0,negative
204,aplikasi gk dbuka,1.0,negative
205,aplikasi gk login aj gk scrol gk gerak andai bintang setenga bintang setenga,1.0,negative
206,aplikasi gk tulis tuju gk muncul muncul,1.0,negative
207,aplikasi gk bugnya udh masukin nik bener bilang sesuai ktp,1.0,negative
208,aplikasi gk jlas gk bs d gunakanmasa gk buka,1.0,negative
209,aplikasi hang pilih bahasa warga negara bgmn coba ulang kali diinstal ulang tdk,1.0,negative
210,aplikasi bagus bantu jalan pergi kondisi pandemi,5.0,positive
211,aplikasi d langsung suruh beli hp marketingnya,1.0,negative
212,aplikasi hp ram ngebug,2.0,negative
213,aplikasi gak sihmasak ceckout,1.0,negative
214,aplikasi jelek,1.0,negative
215,aplikasi gak terima data nama nik sesuai nama nik ampun dah,3.0,negative
216,aplikasi terkadang scan mall gak bisatolong benerin peduli lindung,2.0,negative
217,aplikasi bantu patut jempol terimakasi yg aplikasi dang kendala,5.0,positive
218,aplikasi bantu lihat sertivikat pokok aplikasi bagusss,5.0,positive
219,aplikasi mudah akses,5.0,positive
220,aplikasi bagus bantu cari sertifikat vaksin aplikasi akunsangat bantu,5.0,positive
221,aplikasi bagus membantunamun faksin sertifikat nya y pah dahal masuk tgl tidaj y mohon bantu nya ya cip trimakasih karna manfaat warga trimaksaih,5.0,positive
222,aplikasi,5.0,positive
223,aplikasi bantu karna daerah mksih yahh aplikasi pedulilindung,1.0,positive
224,aplikasi bantu karna daerah mksih yahh aplikasi pedulilindung,1.0,positive
225,aplikasi bantu,5.0,positive
226,aplikasi membantuuu sya khawatir surat vaksin hilang surat vaksin pergi nyata aplikasi lihat terang vaksin aplikasi membantuuu terima kasih devolpernya moga manfaat indonesia,5.0,positive
227,aplikasi mudah bantu salam sehat,5.0,positive
228,aplikasi sdh wajib kontak cs respon complain kait data,1.0,negative
229,aplikasi sngat membantuu,5.0,positive
230,aplikasi check out susah,1.0,negative
231,aplikasi operasi,1.0,negative
232,aplikasi tidk fungsi klik setju scrol utuk pilih tidk buka,1.0,negative
233,aplikasi pantau kembang covid,2.0,positive
234,aplikasi jelek gak main nya,1.0,negative
235,aplikasi kaga,1.0,negative
236,aplikasi buka vaksin kali kali aplikasi ganti buka aplikasi bilang henti buka lihat data buka aplikasi unduh henti,1.0,negative
237,aplikasi kasih nya banget cobain ya,5.0,positive
238,aplikasi hapus sya download lg buka pilih kewarganegaraan centang tuju trs ga bs lg tlg lg jenis tipe android hp krn blm org hp android versi trmksh,2.0,negative
239,aplikasi knpa ga udh hapus download tetep ga,1.0,negative
240,aplikasi ko eror sih gan,5.0,negative
241,aplikasi gin ya gak login ruang publik pake apk,1.0,negative
242,aplikasi hmpr update klu update jg btuh memory klu hpny memry trbatas gmn update kasain orng yg memry hpnya terbtastolong dbenahi bkn hnya mnta update trus,1.0,negative
243,aplikasi koq ga dibukakaya hp mentok logo aja yg mudah dgn versi rendah rakyat nasional ga ribetlah,1.0,negative
244,aplikasi kotokudah download berxx kgk klo kagak butuh kerja kgk gw download,1.0,negative
245,aplikasi fungsi mohon uninstall,1.0,negative
246,aplikasi canggih bijak privasi ga secrol gimana log intolong hrs pake layar gmn yg tlng cepat rakyat bnyk yg tunggu app canggih,1.0,negative
247,aplikasi lot lelet login tuju syarat tombol arah download kesan buruk pakai males download aplikasi mudah sulit tolong benerin nggak nggak download aplikasi paksa,1.0,negative
248,aplikasi lot jaring kuat jaring lemah lot,1.0,negative
249,aplikasi lemotsetiap pkee gk bisamasukin dtaa gk bisaakirain sya jaa gk tau nyacomenyaa trimaksih,1.0,negative
250,aplikasi bantu cari informasi,5.0,positive
251,aplikasi bentuk peduli perintah sehat selamat masyarakat,5.0,positive
252,aplikasi cobak gk login,1.0,negative
253,aplikasi ga pake versi suka gimana nih min solusi,1.0,negative
254,aplikasi bug paksa penggunaa nyusahin rakyat indonesia suruh download dapet addsense masuk kantong lumayan,1.0,negative
255,aplikasi bug,1.0,negative
256,aplikasi eror tampil log in geser,3.0,negative
257,aplikasi sempurna kendala tampil sertifikat vaksin utk login data profil hilang nama tgl lahir no hp mohon sempurna terimakasih salam sehat,3.0,negative
258,aplikasi pakai langsung looping gak buka,3.0,negative
259,aplikasi cek sertifikat vaksin,1.0,negative
260,aplikasi bantu aktifitas pedulilindungi,5.0,positive
261,aplikasi mentah berangkat login sesi habis out kode otp kirim terkadang ga kirim verifikasi kode low respon udh jt yg download cuan nih aplikasi,1.0,negative
262,aplikasi sebal gak bs buka,1.0,negative
263,aplikasi napa kaga login  tuju kaga tombol pilih,1.0,negative
264,aplikasi ngabisin paket ajad wnload udah puluh x tetep gax masuk,1.0,negative
265,aplikasi ngaco udah tau kalo syarat pake gabisa login rusak nih aplikasi,1.0,negative
266,aplikasi ngajak antem ga buka mentok syarat cek list,1.0,negative
267,aplikasi ngak susah pencet masuk tgl lahir bagus,1.0,negative
268,aplikasi ngbug tombol tuju d hp redmi a tolong d,1.0,negative
269,aplikasi ngga ngga buka,1.0,negative
270,aplikasi ngga udah vaksin udah kedaftsr ko ngga muncul sertifikat nyaa,1.0,negative
271,aplikasi ngga,1.0,negative
272,aplikasi ngk buka samsung,5.0,negative
273,aplikasi ny jelek gk puas gk cek sertifikad vaksin,2.0,negative
274,aplikasi ny muas sertifikat vaksin blm smpe skrg aneh ny nyoba dihp laen pdahal hp sy oppo a,4.0,negative
275,aplikasi ny erord buka suka sendiribukan ny mudah lambat,2.0,negative
276,aplikasi nya bagus,5.0,positive
277,aplikasi nya benerin pas tuju g klik ud scroll ga muncul it nya kaya gmn ya aplikasi gin aja ga sanggup kaya,1.0,negative
278,aplikasi nya forc close,2.0,negative
279,aplikasi nya g bs k buka,5.0,negative
280,aplikasi nya gak,1.0,negative
281,aplikasi nya gimana kaga bukakaga becus bikin aplikasi,1.0,negative
282,aplikasi nya kagak kebukatolong aplikasi aplikasi nya kek gin,5.0,negative
283,aplikasi nya jelek banget ngisi tgl lahir nya susah bgt,1.0,negative
284,aplikasi nya bagus eror,2.0,negative
285,aplikasi nya respon vaksin gk bukti vaksin nya,1.0,negative
286,aplikasi nya error,3.0,negative
287,aplikasi nya bagus,5.0,positive
288,aplikasi nya bagus terimakasih,5.0,positive
289,aplikasi nya butuh  terima kasih admin yg tugas aplikasi lihat sertifikat vaksin hasil tes vaksin ragu download aplikasi ragu  kawan karna aplikasi ya utama mahasiswa smp mendownload ni aplikasi ngeluarin koata mb ok thank you and bye,5.0,positive
290,aplikasi nya mudah tuk akses perihal sehat sertifikat vaksin barcode vaksin sukses peduli lindung dlm cerdas masyarakat,5.0,positive
291,aplikasi nya eror tanggung aplikasi cepat responnya,1.0,negative
292,aplikasi nya susah buka sdh instal bbrp x tpi tida buka jga,4.0,negative
293,aplikasi nya tolong benah akun logout pas login error download ulang aplikasi login,3.0,negative
294,aplikasi nyusahin errol udh kali kali unistal download lg ttp hbs login ulang gha masuk aplikasi nya pdhl yg sblmnya hbs login dbuka hbs ku gni,1.0,negative
295,aplikasi nyusain udah sih kartu vaksin cetak aja ganggu hidup udah susah pakai aplikasi hidup susah,1.0,negative
296,aplikasi oon ngisi tanggal lahir aja susah bener masukin nama nik balas sesuai dgn ktp gilir masuk nik nya nyata daftar kali vaksin status bener nyata kali vaksin sertifikat vaksin nyata milik sertifikat vaksin dah aja status helowww waras ga nih yg ngewajibkan aplikasi bobrok kaya gin,1.0,negative
297,aplikasi parah uda input berkalikali tetep aja gak,1.0,negative
298,aplikasi parahmasak iya udah vaksinkok beraktipitas keramaiandan parah status pake aplikasi vaksinasi zona zona merah aplikasi rugi masyarakat,1.0,negative
299,aplikasi payah gak erorr mulu,1.0,negative
300,aplikasi peduli lindung kadang ngak scan ya,1.0,negative
301,aplikasi peduli lindung manfaat masyarakat,5.0,positive
302,aplikasi peduli lindung bantu,5.0,positive
303,aplikasi peduli lindung tdk geser atastdk buka,1.0,negative
304,aplikasi pedulilindung kenpa muncul aplikasi scan qr jdi bingung butuh masuk bekerjaaa,5.0,negative
305,aplikasi pedulilindungi abalabal nyata gak hp support instal aplikasi pedulilindungi abalabal rating nya abalabal hahahahaha susah rakyat aja mah download support hp regis abalabal pedulilindungi please stop covid gantung aplikasi abalabal,1.0,negative
306,aplikasi pedulilindungi hp dukung hp sony e,5.0,negative
307,aplikasi pedulilindungi kecewa tekan tombol tuju gk tombol gk donloud,1.0,negative
308,aplikasi pedulilindungi manfaat,5.0,positive
309,aplikasi pedulilindungi buka ya,3.0,negative
310,aplikasi pedulilindungi instal jalan tawar upgrade sistem macet respon admin developer nembantu terima kasih,1.0,negative
311,aplikasi paksa nih,1.0,negative
312,aplikasi perintah koq kes  an nya yabug nya,1.0,negative
313,aplikasi diam buka diam gerak patung yg bank bca ayan,1.0,negative
314,aplikasi perdulilindungi tdk buka,5.0,negative
315,aplikasi tingkat info kena suntik vaksin tahap dls,3.0,negative
316,aplikasi ribet gk masuk udh tuju gk masuk bbi,1.0,negative
317,aplikasi sammpahh mlah susah driver ojol yg vaksin ngambil order yg mall paksa cancel order krna masuk mall karna aplikasi sampahhh,1.0,negative
318,aplikasi sampah data sesuai ktp udah vaksin kali turun sertifikat pas cek ga sertifikat turun got,1.0,negative
319,aplikasi sampah data bocor login ga,1.0,negative
320,aplikasi sampah ga klaim sertifikat vaksin aja susah bener bikin rumit masyarakat aja,1.0,negative
321,aplikasi sampah gak gak login hp inch tulis,1.0,negative
322,aplikasi sampah ngak bikin program profesional anak tk ajar bahasa pemograman input tanggal lahir pisah pisah form tanggal lahir orang bodoh program bikin program bayar negara kerja sembaranganbayangkan lahir januari alangkah ribetnya kimput data klim sertifikat vaksin tele tele,1.0,negative
323,aplikasi sampah masuk gk databasenya gak input sial,1.0,negative
324,aplikasi sampah buka aplikasi,1.0,negative
325,aplikasi bagus,5.0,positive
326,aplikasi bagus hitung menit langsung kartu vaksin digital,5.0,positive
327,aplikasi buruk tanggal lahir klik manual tua usia siksa aplikasi jari tangan ketuk ketemu tanggal lahir verifikasi emailharus ulang gantung aplikasi paraaah,1.0,negative
328,aplikasi butuh bagus,5.0,positive
329,aplikasi m mmbantu,5.0,positive
330,aplikasi bantu,5.0,positive
331,aplikasi bantu bagus gampang,5.0,positive
332,aplikasi memebantubuat keprluan,5.0,positive
333,aplikasi muas kali download udah lihat sertifikat vaksin buka sertifikat vaksin bilang daftar vaksin gim,1.0,negative
334,aplikasi pedulilindungi ko ga ya chekinsellalu tulis luarjanukon qr,5.0,negative
335,aplikasi gk scan qr code pagi,2.0,negative
336,aplikasi kali buka tutup,1.0,negative
337,aplikasi digunain trimakasih respon,5.0,positive
338,aplikasi susah sekli,2.0,negative
339,aplikasi jelek gk pakai,1.0,negative
340,aplikasi ringan,5.0,positive
341,aplikasi error,1.0,negative
342,aplikasi henti paksauninstall pake hapus download ulang kacau,1.0,negative
343,aplikasi update buka centang tuju discroll moga selesai terima kasih,2.0,negative
344,aplikasi update yg cepat versi,3.0,negative
345,aplikasi lengkap mudah aplikasi,5.0,positive
346,aplikasi suka eror tolol,1.0,negative
347,aplikasi suka gk buka tolong kait rawat program nya pasuk,1.0,negative
348,aplikasi taik tp iya nama kait dgn perintah gtu indonesia indonesia,1.0,negative
349,aplikasi manfaat,1.0,negative
350,aplikasi baharu bikin susah masyarakat tolong perhati aplikasi,1.0,negative
351,aplikasi tdk,5.0,negative
352,aplikasi tdk buka,1.0,negative
353,aplikasi tdk buka,2.0,negative
354,aplikasi tdk lengkap,2.0,negative
355,aplikasi mamberikan mudah pergi,5.0,positive
356,aplikasi program vaksinasi pedoman orang,5.0,positive
357,aplikasi henti bolak instal ulang daftar masuk data ya,2.0,negative
358,aplikasi berat jalan hp,2.0,negative
359,aplikasi fungsi,1.0,negative
360,aplikasi buka,1.0,negative
361,aplikasi buka knp ya,5.0,negative
362,aplikasi ken daftar cari sertifikat vaksin nama gk daftar valid cek kali kali kena limit indonesia maju hadeeehhh,1.0,negative
363,aplikasi pakaiada pilih bahasa trus henti gimana sih nih aplikasi temen begitumasa perintah aplikasi parah,1.0,negative
364,aplikasi scroll login dampak login peduli lindung tolong cepat,1.0,negative
365,aplikasi dibukatidak menu tuju login,1.0,negative
366,aplikasi tampil sertifikat vaksin udah update gajelasss,1.0,negative
