content,sentiment
"Apk nya Bagus...sejak pemakaian Pertama gak ada kendala sih... Tapi kok Di Kolom Ulasan banyak yg gak bisa,,banyak kendala katanya... Apa Mungkin HP kalian yg Kentang,bkn apk nya yg SALAH . AWOKWOK 😂😂",positive
Membuka aplikasi nya cepat dan jelas,positive
"Udah bisa masuk awal nya susah masuk terus aku coba ubah tampilan huruf nya di kecil langsung bisa masuk aplikasi nya, makasih banget saran nya",positive
Selama ini ok2 saja . Bagus,positive
"Alhmdllah ,sukses aman dan lancar..",positive
testi thn kelahiran & upgrade versi baru setelah di cb sesuai arahan dr PeduliLindungi ternyata BERHASIL terima kasih,positive
Udah agak lumayan..meski harus check in beberapa kali dulu..semoga bisa lebih ditingkatkan lagi,positive
Maksih bgus bngt dan berguna buat warga 62,positive
Sangat puas dan membantu sekali. Makasih,positive
"Bagi saya aplikasi cukup bagus, saya dapat melihat sertivikat vaksin dgn mudah pokoknya sangat terbantu lah dgn aplikasi ini",positive
Sejauh ini ok lah,positive
"Sangat bagus apalagi untuk murid yang check-in , tapi ada beberapa kendala yaitu suka error pas check-in , dan suka susah di buka , semoga cepat di perbaiki",positive
Bermanfaat terutama dipelayanan publik..,positive
"Dapat digunakan dengan baik, registrasi mudah dan sukses, applikasinya lumayan bagus tapi belum dapat menyesuaikan dibeberapa perangkat android lama (OS Android 6, RAM 2GB, ROM 16 layar 5,5"" HD)",positive
Aplikasi yg baik dan tujuannya baik,positive
"Aplikasi cukup membantu dalam kelancaran mobilisasi pekerjaan saya sebagai sopir. Hanya saja untuk penerbitan e-sertifikat vaksin ke 2 belum terbit/muncul di aplikasi, padahal sudah hampir 2 bulan semenjak selesai vaksinasi ke 2.",positive
cukup mudah mempergunaknnya,positive
Sekarang lebih baik dari yg sebelumnya...,positive
"Sangat mndukung,trimaksih buat ap likasi peduli lindungi",positive
"Sangat terbantu dgn ada nya Google Play karena lebih efisien lebih cepat ,tepat dan akurat informasi contoh nya yg berkaitan dng kesehatan dan masih banyak informasi yg lain nya semoga pelayannya bisa bermanfaat bagi orang banyak , masukan saja pelayanan yg sudah baik hrs di jaga agar lebih baik lagi sukses selalu Google Play",positive
Sudah lebih baik dari 2 bulan yang lalu.,positive
Saya senang dengan adanya aplikasi PeduliLindungi ini.Untuk mempermudah masyarakat melihat Sertifikatnya.Bahwa mereka sudah di vaksin.,positive
Kualitas apk ny bagus!,positive
Cukup untuk cek data vacin,positive
Aplikasi yg mempermudah informasi,positive
Semoga bermanfaat dan menjadi amal ibadah.,positive
semoga makin lancar ketika di akses,positive
Sangat bermanfaat bagi semua,positive
Baik Untuk kita semua,positive
Program sangat baik,positive
Semoga kedepannya selalu bermanfaat,positive
"urusan semaunya lancar,,,,mantul banget,,",positive
Mantap.... Lanjutken,positive
Peduli lindungi sangat sangat membantu ...,positive
sungguh sangat membantu,positive
"Sangat bermanfaat juga aplikasi ini. Berguna untuk mengecek sertifikat vaksinnasi covid, namun ada kendala saat menerima sertifikatnya, saat vaksinasi pertama sama mendapatkan sertifikatnya tapi saat saya sudah menjalani vaksin kedua saya, hingga saat ini belum juga masuk sertifikat ke 2 nya mohon di perbaiki lagi aplikasinya... Mohon di jawab, Terima Kasih...",positive
"Bgs juga ada peduli lindungi, ke setiap masuk mall , spy menjaga badan kita tetap aman n lingkungan yg sehat. Anjuran dri pemerintah ini, setuju n mendukung. Terimakasih, Peduli Lindungi.",positive
Akurat dan akuntabell,positive
Sangat bermanfaat bagi manusia d seluruh pelosok dunia,positive
"Bagi aku ini app berguna banget buat yang mau pergi2 kemana,jadi ga ribed klo pake pedulilindungi. tapi untuk masalahnya itu cuma buat 1 NIK (pengguna) dan ga bisa double Jadi kalo kita emang mau bikin kartu vaksin sekeluarga harus pake hp masing2 dan download juga. itu aja",positive
Sangat mudah digunakan...ayo instal kawan !!!,positive
Lumayan membantu,positive
sangat membantu bgt,positive
"Uda baik sangat membantu,melindungi warga utk keselamatan bersama",positive
Sudah lebih baik penanganan covid,positive
Di vaksin tambah kuat,positive
Sangat membantu tolong ditingkatkan keamananya,positive
Bagus bisa membantu,positive
Alhamdulillaah aplikasi peduli lindungi sdh dpt saya pakai dan tdk ggl lg ketika mau check-in. Keren 👍 cepat tanggap. Semoga k dpnnya tdk ada kendala lg. Thanks,positive
Alhamdulillah sudah bisa,positive
Halo Aplikasi Peduli lindungi !!! Terimakasih Banyak. Sekarang Di status Vaksinasi Data saya. Sudah Berwarna Kuning 😁 Tapi saya kasih bintang 4 dulu ya. Soal nya di aplikasi nya Sya Tidak bisa Meng aplod foto fropil sya Tolong Perbaiki lagi dong. Nanti Sya kasih bintang 5 deh! 😇 😇😇,positive
Bagus sangat membantu,positive
"Mantap , Akurat , tetapi kadang suma sedikit lambat Update , selebihnya sangat bagus.... 👍👍👍👍",positive
"Sangat membantu,terimakasih",positive
Peduli lindungi cukup baik,positive
Bagus dan terpercaya,positive
"Baik, mudah di akses",positive
Sangat puas dgn ada nya peduliLindungi ini,positive
"Sebenernya aplikasi ini sudah bagus dan ramah utuk digunakan bagus, tapi kenapa tidak ada fitur pembatalan tiket vaksinasi.",positive
"Bagus .... Tapi jika mengisi data diri tgl lahir , bulan, tahun kelamaan mencetnya bagi yg usianya THN 80 an",positive
Sangat membantu dan ada juga kendala,positive
Cukup memuaskan 👍,positive
Cukup bagus dan mudah di mengerti bisa liat sertifikat vaksin bila kita berangkt keluar kota cuma masih kuning pdhl udah vaksin dosis 2,positive
Dengan peduli lindungi indonesia akan terbebas dari virus covid_19,positive
Bagus sangat memudahkan,positive
Sangat dibutuhkan,positive
Banyak manfaatnya...,positive
Alhmdllah Vaksinasi ke 2 sudah online di PEDULIlindungi,positive
"Pengaturan tulisan nya harus kecil ya...agar aplikasi ini bisa di gunakan. Sy langsung bisa mengakses nya, dan di unduh sertifikant vaksin nya dgn mudah.",positive
Ini bagus sekali peduli lindungi ini,positive
Sangat diperlukan,positive
Sangat membantu....mantap,positive
terimakai sudah membantu,positive
Aplikasi nya sangat bagus sekali,positive
"MAKASIH,SERTIFIKAT VAKSIN KE 2 AKU UDAH KELUAR🙏",positive
Memudahkan masyarakat untuk akses vaksinasi dan sertifikasi vaksin,positive
Bagus tapi saya udah vaksin pertama sertifikat yang pertama gak muncul,positive
Bagus sangat mempermudah,positive
Bagus sangat membantu. Karena SMS pernyataan ibu sya tidak masuk di SMS dan memakai apk ini Alhamdulillah udah bisa ketemu...tetap sukses semangattt. Dan buat yg bilang gak bisa dipakai apknya mungkin kalian yg gak bisa Makai nya🤭ini sangat membantu sukses terusss👍🏻✨,positive
"Alhamdulillah, lbh mudah mendeteksi aman atau tidaknya tempat yg saya kunjungi, semoga bs lbh baik lagi ke depannya, dan kita bs lbh mengontrol situasi, agar ttp aman",positive
Aplikasi nya bagus,positive
Memudahkan......,positive
Bagus biar kita tau,positive
"Alhamdulillah setelah sabar nunggu sebulan lebih, sertifikat vaksin dosis pertama bisa didownload juga. Sebelumnya tidak bisa karena NIK tidak terdaftar di dukcapil, saya juga kirim email ke pedulilindungi, tadinya mau ngurus masalah NIK KTP tapi belum sempat diurus, sudah bisa sekarang",positive
"Administrasi tertib, urusan lancar",positive
Sangat membantu untuk mengurangi penyebaran covid... Pasien yg terpapar bisa cepat dideteksi...,positive
Setelah update jadi lebih keren UI UX nya,positive
Alhmdllah sertifikat pertama dan yg ke dua dah ada...sangat berguna sekali ...mksh ...🖒🖒🖒🖒🖒,positive
Sangat mendukung,positive
bagusss si .cuma susah tuk kasih foto fropil nya....,positive
Bermanfaat sekali bagi kami,positive
Bagus sekali ✍️,positive
aplikasinyah lumayan bagus membantu aku dan bruan yg belum punya download,positive
saya sangat senang adanya aplikasi pedulilindungi,positive
Sangat memuaskan,positive
Aku sudah vaksin dua kali,positive
Aplikasi ini sngat membantuu,positive
Sangat membantu penggunanya,positive
Alhamdulillah membantu untuk kemudahan perjalanan dll,positive
Terima kasih lebih tingkatkan aplikasinya biar tambah oke,positive
"Bagus aplikasinya di saya keterangan vaksin lengkap semua gak ada permasalahan, tapi yang lain kok pada komen negatif yah..",positive
Membantu sekali.. semoga lebih di perbaiki bug bug yang ada ke depan nya.,positive
Sangat membantu dan memberikan kemudahan,positive
Aplikasi ini sangat bagus dan sangat membantu saya dalam mencari sertifikat vaksin saya dan aplikasi ini juga bisa buat dua akun😀sangat membantu sekali.,positive
Mudah di gunakan sih apk nya...gak sulit gak ribet,positive
Aplikasi yg bagus,positive
Merasa lebih mudah,positive
"Saya sudah divaksin.hasilnya baik.tidak ada resiko buruk karena kondisi tubuh saya normal siap vaksin berdasarkan tensi darah dan pengisian formulir oleh nakes sesudah dialog/wawancara sesuai pertanyaan dan jawaban jujur dari saya.besok,2 november 2021 saya jalani vaksin kedua.saya yakin akan berjalan mulus karena kondisi tubuh normal dan siap.terima kasih pemerintah pusat dan daerah.terima kasih untuk semua nakes puskesmas Ritaebang.proficiat.super.syallom",positive
"Semoga Semua Rakyat Seluruh Dunia ini Terlindungi Atas Wabah Covid 19,, terima kasih banyak kepada pemerintah setempat yang telah mengadakan suntik vaksin dan telah mengeluarkan sertifikat vaksin nya.. Semoga kita semua dalam lindungan ALLAH SWT diberikan sehat wal alfiat selalu & rezeki yang tiada Tara kepada kita kita semuanya... Amiiin ya robbal alamin",positive
Aplikasi yg bagus,positive
Aplikasinya bagus,positive
Bagus aplikasinya bisa bantu saya mengecek sertifikat vaksin dan bisa mempelajari aturan keluar rumah pokoknya mah ini aplikasi cakep kalian harus download ini aplikasi debes😊,positive
Jelas dan bermanfaat,positive
Membantu sekali saat pandemi gini,positive
Applikasi ini sngt bagus untuk kesehatan dlm mencegah meluasnya virus Corona..thx👍🙏,positive
Aplikasi peduli lindungi sangat bermanfaat sekali untuk masyarakat,positive
Sangat baik membantu untuk penanggulangan covit19 impormasi yang sangat akurat.,positive
Sangat membantu kami dalam melindungi kesehatan,positive
Aplikasi terbaik program vaksinasi sebagai pedoman setiap orang.,positive
Mantabs👍 bagus nih aplikasinya,positive
Sangat membantu sekali,positive
Baik saya sudah di vaksin,positive
"Aplikasi yang bagus ,bisa membantu masyarakat",positive
Bagus berguna buat pergi kemana mana biar gak bingung,positive
Alhamdulilah dengan adnya apk peduliLindungi semua aman dan lancar,positive
"Untuk update terbaru (1 Nov 2021), saya rasa sudah banyak kemajuan, UI dan UX yg lebih bagus, kemudahan login (saya di versi sebelumnya gagal login berkali"" jadi pke lewat apk lain), dan lebih enteng/tidak memakan banyak ram dan data",positive
Bagus dg tampilan menu baru,positive
Vaksin untuk disabilitas luar biasa,positive
Sangat membantu untuk pendataan dan pendaftaran vaksin dan sebagai ganti kartu vaksinasi,positive
Sangat membantu buat kita yg pekerja,positive
Sangat menyenangkan,positive
"Aplikasi nya sangat memudahkan tuk mengakses semua perihal tentang kesehatan, Sertifikat Vaksin hingga barcode vaksin. Sukses terus Peduli Lindungi dlm mencerdaskan masyarakat.",positive
Good job Indonesia pasti bisa,positive
Aplikasi yg bagus & brmanfaat.👍👍👍,positive
TERIMAKASIH UNTUK SEMUANYA ALKHMDDLLH....indo😀😀😀😀😷,positive
Sangat berguna sekali,positive
"Sangat membantu, Aplikasi pemerintah memang sangat membantu bagi saya yang sering bepergian sehingga tahu tempat mana yang rawan mana yang tidak dan membantu saya dan orang-orang disekitar saya yang ingin lebih menjaga diri",positive
"Edit: Terima kasih untuk pihak pengembang aplikasi karena mau dan sudah membenahi fungsi aplikasi. Keluhan masalah izin lokasi dan bluetooth yang mencurigakan serta layar ""tutorial"" yang repetitif sudah diperbaiki, notifikasi yang tidak bisa dihapus dan mengganggu juga sudah dihilangkan. Sukses terus menekan angka Covid-19 di Indonesia!",positive
Aplikasinya bagus tuk cek,positive
Saya sangat suka adanya aplikasi ini. Sangat membantu,positive
Saya merasa senang,positive
Baik untuk peduli kesehatan...,positive
Sangat update dan memudahkan,positive
"Bagus banget, setelah vaksin langsung muncul sertifikatnya. Mantap 😘",positive
Sangat bagus untuk kesehatan dan aman,positive
Baik dan bermanfaat,positive
bagus sangat membantu,positive
Alhamdulillah sangat membantu,positive
Download 👉👉buka👉👉 langsung berhasil download sertifikatnya alhamdulillah.. sebelum download app saya liat banyak komentar kecilin font. Baiknya sebelum donwload app kecilin font-nya dulu deh. Semoga berhasil...,positive
Sangat memuaskan,positive
Mantap respon nya cepat,positive
Sangat membatu dlm pelayanan covid 19,positive
Sangat memudahkan dlm membantu utk menemukan yg sehat,positive
Bagus aplikasinya,positive
Semoga bermanfaat.....Terima Kasih sudah berhasil dan bisa berpungsi kembali,positive
Karna untuk masyarakat dan pemeromtah juga,positive
Terima kasih aplikasi in sudah sangat membantu saya dalam kasus covid 19 Dan menambah pengalaman saya tentang covid 19..saya rasa aplikasi ini sungguh2 membantu,positive
Sangat membantu sekali,positive
Pelayanan yang sangat baik,positive
Bagus kok ini saya pakai aman2 saja informasinya akurat seperti yang tertulis di kertas,positive
Sangat bermanfaat,positive
Aplikasi yg sangat bagus.,positive
Apk sangat bagus,positive
Top banget...peduliLindungi,positive
Sangat membantu & mempermudah ...,positive
Sangat membantu untuk kemudahan,positive
Keren Aplikasinya 👍 Salam Sehat 💚 kita semua 🙏🥰,positive
Ok bagus kalo menurut saya ga ribet 👍,positive
Aplikasi yg bagus,positive
Membantu sekali,positive
Bagus banget aplikasinya,positive
Waw bisa lihat riwayat vaksin 👍,positive
Alhamdulillah sejauh ini saya tidak ada kendala sama sekali. Meski awal agak bingung dlm penggunaan. Semoga bermanfaat buat semuax.. Dan smga jdi yg terbaik untuk masyarakat Indonesia,positive
Dah udah gak ada gangguan lg,positive
"Terimakasih aplikasi, aplikasi ini sangat bagus",positive
Sangat membantu dalam perjalanan,positive
Lebih simple di update an terbaru... Semoga terus berkembang ke arah lebih baik Dan Mudah digunakan...,positive
Aplikasi ini mempermudah akses,positive
Sangat baik dan terbantu cepat infonya mksh,positive
"Terimakasih dev, registrasi sudah jadi mudah dari sebelumnya",positive
Sangat baik untuk semua fihak dan kesehatan kita semua amin. Tangguh. Kuat. Sehat. Sukses.,positive
"Setelah divaksin yang ke dua dengan sinovac saya lebih percaya diri utk beraktifitas, terimakasih vaksin gratisnya",positive
Sangat bermanfaat sekali,positive
Sangat membantu utk diri kita dan orang disekitar kita ..ayo vaksin,positive
"bagus, HP gua kentang merk ( Samsung J2prime ) tapi bisa2 aja ko. sertifikat nya muncul, waktu itu pernah ngecek sertifikat vaksin di situs pedulilindungi, ngecek punya gua, kaka gua, ama bapa gua. pas gua download apk nya semua sertifikat dari punya gua, kaka gua, bapa gua juga muncul kok. apk nya memudahkan untuk berpegian kemana2",positive
Saya sangat puas dengan pelayanan yang diberikan kepada saya dan istri saya atas vaksinasi pertama tertanggal 07 Oktober 2021. Dengan demikian kami sangat mendukung program pemerintah secara berkesinambungan. Terimakasih.,positive
Sangat baik dan sangat Membantu sekali Terima Kasih Peduli Lindungi Sukses trus dan jaya selalu. Terima Kasih,positive
"Sangat mudah pengoperasiannya, brovo",positive
Mudah di mengerti,positive
Aplikasih normal tdk ada kendala .,positive
mantap bagus nihh 🖒awalnya gk bisa d scroll ternyata punya ide tulisannya dikecilin alhamdulillah jdi bisa,positive
"sudah enak, tampilannya sederhana gak ruwet kayak versi sebelumnya..",positive
"Bagus, mudah banget pengunaannya. Cuma tinggal klik klik doang, mantap maju wes buat pedulilindungi👍👍👍👍👍👍",positive
"Aplikasi sangat membantu bagus, dan gampang",positive
Aplikasinya sangat membantu dan memberikan banyak manfaat buat saya,positive
"Saya senang bisa menggunakan sistem aplikasi ini , karena sangat membantu . Dan mengetahui segala informasi tentang dunia kesehatan .. kesan dari saya sangat baik dan sangat membantu.",positive
mudah dan lancar,positive
"sangat membantu,,,",positive
"Sangat membantu untuk proses kelancaran baik saat berpergian ,belanja dimall maupun kegiatan sosial lain nya",positive
Sangat Membantu... Terimakasih,positive
Sangat baik dan membantu dngn memudahkn dsgla akses,positive
Sangat terbantu tidak harus bertanya kemana mana.,positive
"Informatif,""""sangat membantu'""Terimakasih 🙏👍",positive
"Sangat berguna tentang informasi covid 19, dan anjuran yang berkaitan untuk mencegah dan selalu melaksanakan 3M.semoga aplikasi perduli lindungi tetap menjadi ganda terdepan dalam melindungi masyarakat seluruh Indonesia.",positive
"Bagus, sangat membantu",positive
Sangat efiseien dan membantu,positive
Demi keamanan dan kesehatan bersama good,positive
Alhamdulillah... Sekarang sudah bisa dibuka.,positive
Sangat membantu... semoga lebih baik lagi aplikasinya,positive
Sangat membantu dan aman,positive
Aplikasi sangat dibutuhkan dan bagus,positive
Semoga kedepannya aplikasi ini jauh lebih baik dan lebih baik lagi,positive
Sangat membantu dan tidak ribet,positive
"Sangat membantu apabila melakukan kegiatan publik, jg dlm melakukan perjalanan jarak jauh",positive
berguna untuk memberikan informasi,positive
Simpel mudah di akses..,positive
PeduliLindungi cegah penyebaran covid-19👍,positive
Sangat bagus mambantu😊,positive
"OK, sangat membantu sekali untuk info covid 19",positive
"Aplikasi nya sangat dibutuhkan kan masa² pendemi ini, saya banyak berterima kasih kepada admin berserta yg bertugas diaplikasi ini, karena bisa melihat sertifikat vaksin, hasil tes vaksin, dan banyak lagi. Yang masih ragu download ini aplikasi jangan ragu² kawan, karna aplikasi ini sangat digunakan, ya terutama saya mahasiswa SMP. Lagian untuk mendownload ni aplikasi tidak banyak ngeluarin koata, cukup 16 MB lebih. Ok thank you and bye",positive
Sangat bermanfaat,positive
Sangat membantu maka nya saya kasih bintang 5,positive
Lanjutkan sangat mmbantu masuk gedung resmi dan perjlanan mnunjukan sertifikat vaksin.,positive
bisa membantu mencari sertifikat vaksin covid-19,positive
"terimakasih, saya mengapresiasi bahwa ulasan saya terkait kendala yg saya alami pada aplikasi ini mendapatkan respon yang baik. Sehingga sekarang saya bisa menggunakan aplikasi ini.. Untuk selanjutnya dimohon bisa memberikan update terbaru sehingga orang lain tidak mengalami kendala yang serupa.. Terimakasih",positive
"Aplikasinya memudahkan gausa bawa2 surat vaksin klo bepergian, bagi yg gamau vaksin sbnrny gpp, gausa jelek2in indonesia toh itu jg buat kebaikan kita bersama biar indonesia cpt pulih, semangat semuaaa",positive
Terima kasih sudah kerja keras untuk bangsa Indonesia,positive
sangat membantu apkikasi ini sip cap jempol,positive
"Sangat bagus,degan aplikasi ini kita mudah melihat sertifikat vaksin kita🙂😁",positive
"Bagus, Aplikasi Buatan anak bangsa emang top 👍 , Lanjutkan!!! Untuk Bisa menangani covid 19 agar negeri ini terbebas dari covid 19😊",positive
Bagus sangat membantu.,positive
Selain KTP kan ada KK bisa kok pakai KK,positive
setelah di perbaharui aplikasi makin bagus..Mksh kak admin.,positive
Trimakasih Aplikasi Peduli Lindungi baik sekali d pergunakan untuk apa saja dalam Hal menyangkut Kesehatn Manusia untuk memberikan Informasi Kesehatn dri,positive
Bagus aplikasinya👍,positive
Sangat bermanfaat dan membantu,positive
Sangat terbantu dengan aplikasi ini,positive
"Proses nya gampang,gampang susah",positive
Sangat baik di gunakan untuk bepergian kita sehat selalu,positive
aplikasi ini bagus membantu dalam perjalanan kemanapun saya pergi untuk kondisi pandemi saat ini.,positive
Bermanfaat sekali buat beraktifitas,positive
Vaksin memudahkan kita dalam segala hal dalam beraktifitas,positive
Apk yang bagus dan bermanpaat.,positive
Ikuti protokol kesehatan,positive
"Terimakasih,,skrg sy sudah bisa akses aplikasi meski agak lama..Hari ini vaksin ke 2 ..smoga penguna lain di beri kemudahan",positive
Sangat bermanfaat,positive
Sangat bagus. Mari kitaaaa sukseskan peduli lindungi bersama sama,positive
Mudah d aplikasikan,positive
"Mudah mencarinya , praktis Digunakan",positive
Bagus dan lenkp,positive
Sngat membantu keluarga saya yang kurang mampu,positive
Terima kasih sarannya min,positive
Bagus Aplikasi PeduliLindungi Mantap,positive
Sangat membatu untuk percepatan normalisasi covid19 semoga corona (covid19) secepatnya hilang dari dunia ini,positive
Saya suka sangat akurat juga sangat membantu terima kasih...!!!!!!! sertifikat udah ada.makasiiiii.,positive
Aplikasi yang sangat bagus utk di referensikan....tq,positive
Aplikasi ini membantu bagi saya dan patut di beri jempol♡ dan terimakasi yg telah membuat aplikasi dangan sangat baik.🤗🦄♥️♥️♥️♨️💒🌌💯💯💯 Dan jangan sampai ada kendala.,positive
Memudahkan pengecekan dalam melakukan aktifitas diluar rumah,positive
Semoga pada masuk sorga yg terlibat....AAMIIN......,positive
Cerdas dan tepat,positive
Kita sebagai warga negara yg baik.Wajib punya sertifikat vaksin.,positive
Aplikasi semakin ringan,positive
PeduliLindungi merupakan aplikasi yg menyertakan informasi akun pribadi dan perangkat hp yang bertujuan memenet perilaku aktivitas publik agar menekan laju pertumbuhan dan juga dapat mencegah penyebaran virus Covid 19.,positive
Aplikasii nya sangat bermanfaat,positive
"Aplikasinnya bekerja dengan baik,.",positive
Jelas and mudah di mengerti,positive
Sangat puas bagus cepat akurat mantap jos,positive
Saingan bermanfaat. Disini bisa juga daftar online ngak ribet²,positive
Alhamdulillah setelah di vaksin tubuh tetap sehat,positive
Sangat membabtu saya dalam mengetahui tentang vaksin dan tentang covid 19,positive
"Sangat bermanfaat Dan buatlah selalu bermanfaat untuk masyarakat banyak, jangan mengambil keuntungan dari masyarakat kecil",positive
Sangat membantu untuk bepergian,positive
Sangat bermanfaat,positive
Bagus dan mudah di gunakan👍,positive
Sangat bagus sekali simple dan cepat informasi nya,positive
Bagus dan simple untuk menyimpan data elektronik yg aman.cara masuknya login dulu di crome stlah terverifikasi baru unduh di playsore baru bisa masuk.gituuu bos.,positive
Untuk keselamatan keluarga dan sekitarnya Luar biasa,positive
Aplikasi ini membantu saya untuk melihat sertivikat saya pokoknya aplikasi ini bagussssssssss sekali💗💗💗💗💗💗,positive
Dengan aplikasi ini semua pihak peduli dan lindungi seluruh rakyat indonesia agar covid19 hilang dari bumi Indonesia. Amiin,positive
Aplikasinya Hebat dan luar biasa !!!,positive
Enak gk usah bawah kartu vaksin cukup dengan aplikasi peduliLindungi.👍,positive
Luar biasa ni plikasinya,positive
Terima kasih apk membantu bngat Jdi syng bsa membuka servifikat vaksin syng makasih...,positive
Sangat bagus aplikasinya Mantap,positive
Bagus sangat membantu,positive
"Cukup membantu, bagi yg tdk bisa check out caranya cukup nyalakan GPS kalian setelah itu bisa check out deh",positive
Sangat membantu saya,positive
"Ternyata aplksiny sangat memuaskan Pas saya danlod.trs cara cek sertivikat vaksinny sangat gampang tinggal cocokin nama,dan nik kk/ no hp Pasti keluar sertivikat vaksinasin pertama.",positive
Alhamdulilah sertifikat vaksin saya yg ke satu sama yg ke dua sudah keluar..,positive
Sangat bermanpaat bagi semua,positive
"Fitur """"Aturan Perjalanan"""" beserta Regulasinya sangat membantu.",positive
Sangat bermanfaat,positive
Hidup lebih sehat itu nyaman,positive
Sangat membantu adanya aplikasi PeduliLidungi ini,positive
"Semoga Covid segera hilang, dan New Normal bebas covid. Semoga data2 kami dijaga dengan baik. Indonesia bangkit 👍👍⭐⭐⭐⭐⭐",positive
bagi teman2 yg stuck di halaman menyetujui .. coba fontnya dikecilkan lg... saya jg mengalami hal yg sama sblmnya...,positive
"Apk nya bagus banget baru download tapi gak ada kendala sama sekali, ntah kenapa yang lain pada ngeluh gak bisa login atau apalah untungnya saya lancar² aja tuhh",positive
Aplikasi luar biasa .. Sangat membantu sekali dalam pencarian informasi,positive
Sangat memudahkan kita,positive
Enak banget pakek aplikasi pedulilindungi good,positive
"Terima kasih. Petunjuk yg diberikn sangat membantu, sdh berhasil. Setting ukuran huruf paling kecil.",positive
Lebih praktis krn tdk perlu ke mana mana,positive
Semoga kita sehat semua,positive
Lumayan berguna tinggal scan *kata orang Tapi saya udh vaksin terus masukin vaksinasi sertifikat dapet kode OTPnya lama banget..,positive
Sangat bermanfaat,positive
Sangat membantu sekali 👍,positive
Aplikasi sangat bagus. Dalam hitungan menit langsung jadi kartu vaksin digital.,positive
Mantafff...sangat membantu....,positive
Sangat bermanfaat sekali,positive
"mksh sudh bisa,aku ksh bntg 5 😺",positive
Alhamdulillah g ada mslh atw kendala,positive
Sangat nyaman berpergian menggunakan aplikasi peduli lindungi pada masa pandemi di Indonesia (penerbangan Domestik),positive
Kita semua harus peduli untuk saling melindungi,positive
Pemeriksaan berjalan lancar,positive
Sangat bermanfaat,positive
Sangat bagus dan ada kemajuan,positive
Bagus sekali kk 😍 udah aku donlot sertipikat paksin,positive
Aplikasi sangat membantu,positive
Sangat berguna dan bermanfaat buat saya,positive
Vaksinasi sangat menyehatkan dan menyelamatkan kita,positive
"mau kasih tau aja buat yang ga bisa login karena setelah update , kalian bisa ko login asal di hp kalian klo yang layarnya kecil tinggal kecilin juga font/ukuran huruf di hp kalian nah nanti akan ada opsi buat login atau setuju gitu , cara kecilin font nya tinggal ke pengaturan lalu klik tampilan terus pilih ukuran huruf",positive
Mempermudah memasuki ruang publik,positive
terimakasih sudah membantu banget tekngkyu aplikasi peduli Lindungi !!!!!!!!!!!!!!!!!!!!=!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!¡!!!¡!!!!!!!!!=!!!!!!!!!!!!!!!!!!!!!!!!!!!=!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!¡!!!!!!¡!!! apa liat liat kan gue dah bilang keren banget😉😉😉😉,positive
"Sangat membantu masyarakat, aplikasi ini, trims",positive
Bagus gampang cek nya.☝️👍,positive
Apps ini sangat membantu.,positive
aplikasi peduli lindungi sangat membantu,positive
