,stopword,sentiment
70,alhamdulillaah aplikasi peduli lindung sdh dpt pakai tdk ggl lg checkin keren  cepat tanggap moga k dpnnya tdk kendala lg thanks,positive
71,alhamdulillah,positive
72,halo aplikasi peduli lindung terimakasih status vaksinasi data warna kuning  kasih bintang ya nya aplikasi nya sya meng aplod foto fropil sya tolong sya kasih bintang deh   ,positive
73,bagus bantu,positive
74,mantap akurat kadang suma lambat update bagus   ,positive
75,membantuterimakasih,positive
76,peduli lindung,positive
77,bagus percaya,positive
78,mudah akses,positive
79,puas dgn nya pedulilindungi,positive
80,sebenernya aplikasi bagus ramah utuk bagus fitur batal tiket vaksinasi,positive
81,bagus isi data tgl lahir mencetnya yg usia thn an,positive
82,bantu kendala,positive
83,muas ,positive
84,bagus mudah erti liat sertifikat vaksin berangkt kota kuning pdhl udah vaksin dosis,positive
85,peduli lindung indonesia bebas virus covid,positive
86,bagus mudah,positive
87,butuh,positive
88,manfaat,positive
89,alhmdllah vaksinasi online pedulilindungi,positive
90,atur tulis nya yaagar aplikasi sy langsung akses nya unduh sertifikant vaksin nya dgn mudah,positive
91,bagus peduli lindung,positive
92,,positive
93,membantumantap,positive
94,terimakai bantu,positive
95,aplikasi nya bagus,positive
96,makasihsertifikat vaksin udah ,positive
97,mudah masyarakat akses vaksinasi sertifikasi vaksin,positive
98,bagus udah vaksin sertifikat gak muncul,positive
99,bagus mudah,positive
100,bagus bantu sms nyata sya masuk sms pakai apk alhamdulillah udah ketemutetap sukses semangattt yg bilang gak pakai apknya yg gak nya  bantu sukses terusss   ,positive
101,alhamdulillah lbh mudah deteksi aman yg kunjung moga bs lbh bs lbh kontrol situasi ttp aman,positive
102,aplikasi nya bagus,positive
103,mudah,positive
104,bagus biar tau,positive
105,alhamdulillah sabar nunggu sertifikat vaksin dosis didownload nik daftar dukcapil kirim email pedulilindungi ngurus nik ktp urus,positive
106,administrasi tertib urus lancar,positive
107,bantu sebar covid pasien yg papar cepat deteksi,positive
108,update keren ui ux nya,positive
109,alhmdllah sertifikat yg dah adasangat mksh   ,positive
110,dukung,positive
111,bagusss si susah tuk kasih foto fropil nya,positive
112,manfaat,positive
113,bagus  ,positive
114,aplikasinyah lumayan bagus bantu bruan yg download,positive
115,senang aplikasi pedulilindungi,positive
116,muas,positive
117,vaksin kali,positive
118,aplikasi sngat membantuu,positive
119,bantu,positive
120,alhamdulillah bantu mudah jalan dll,positive
121,terima kasih tingkat aplikasi biar oke,positive
122,bagus aplikasi terang vaksin lengkap gak komen negatif yah,positive
123,bantu moga bug bug nya,positive
124,bantu mudah,positive
125,aplikasi bagus bantu cari sertifikat vaksin aplikasi akun  bantu,positive
126,mudah sih apk nyagak sulit gak ribet,positive
127,aplikasi yg bagus,positive
128,mudah,positive
129,divaksinhasilnya baiktidak resiko buruk kondisi tubuh normal vaksin dasar tensi darah isi formulir nakes dialogwawancara sesuai jujur sayabesok november jalan vaksin keduasaya jalan mulus kondisi tubuh normal siapterima kasih perintah pusat daerahterima kasih nakes puskesmas ritaebangproficiatsupersyallom,positive
130,moga rakyat dunia lindung wabah covid terima kasih perintah suntik vaksin sertifikat vaksin nya moga lindung allah swt sehat wal alfiat rezeki tiada tara amiiin ya robbal alamin,positive
131,aplikasi yg bagus,positive
132,aplikasi bagus,positive
133,bagus aplikasi bantu ecek sertifikat vaksin ajar atur rumah pokok mah aplikasi cakep download aplikasi debes ,positive
134,manfaat,positive
135,bantu pandemi gin,positive
136,applikasi sngt bagus sehat dlm cegah luas virus coronathx  ,positive
137,aplikasi peduli lindung manfaat masyarakat,positive
138,bantu tanggulang covit impormasi akurat,positive
139,bantu lindung sehat,positive
140,aplikasi program vaksinasi pedoman orang,positive
141,mantabs  bagus nih aplikasi,positive
142,bantu,positive
143,vaksin,positive
144,aplikasi bagus bantu masyarakat,positive
145,bagus pergi biar gak bingung,positive
146,alhamdulilah adnya apk pedulilindungi aman lancar,positive
147,update nov maju ui ux yg bagus mudah login versi gagal login kali pke apk entengtidak makan ram data,positive
148,bagus dg tampil menu,positive
149,vaksin disabilitas,positive
150,bantu data daftar vaksin ganti kartu vaksinasi,positive
151,bantu yg kerja,positive
152,senang,positive
153,aplikasi nya mudah tuk akses perihal sehat sertifikat vaksin barcode vaksin sukses peduli lindung dlm cerdas masyarakat,positive
154,good job indonesia,positive
155,aplikasi yg bagus brmanfaat   ,positive
156,terimakasih alkhmddllhindo    ,positive
157,,positive
158,bantu aplikasi perintah bantu pergi rawan bantu orangorang jaga,positive
159,edit terima kasih kembang aplikasi benah fungsi aplikasi keluh izin lokasi bluetooth curiga layar tutorial repetitif notifikasi hapus ganggu hilang sukses tekan angka covid indonesia,positive
160,aplikasi bagus tuk cek,positive
161,suka aplikasi bantu,positive
162,senang,positive
163,peduli sehat,positive
164,update mudah,positive
165,bagus banget vaksin langsung muncul sertifikat mantap ,positive
166,bagus sehat aman,positive
167,manfaat,positive
168,bagus bantu,positive
169,alhamdulillah bantu,positive
170,download   buka   langsung hasil download sertifikat alhamdulillah download app liat komentar kecilin font donwload app kecilin fontnya deh moga hasil,positive
171,muas,positive
172,mantap respon nya cepat,positive
173,batu dlm layan covid,positive
174,mudah dlm bantu utk temu yg sehat,positive
175,bagus aplikasi,positive
176,moga bermanfaatterima kasih hasil pungsi,positive
177,karna masyarakat om,positive
178,terima kasih aplikasi in bantu covid alam covid aplikasi sungguh bantu,positive
179,bantu,positive
180,layan,positive
181,bagus pakai aman informasi akurat tulis kertas,positive
182,manfaat,positive
183,aplikasi yg bagus,positive
184,apk bagus,positive
185,top bangetpedulilindungi,positive
186,bantu mudah,positive
187,bantu mudah,positive
188,keren aplikasi  salam sehat   ,positive
189,ok bagus kalo ga ribet ,positive
190,aplikasi yg bagus,positive
191,bantu,positive
192,bagus banget aplikasi,positive
193,waw lihat riwayat vaksin ,positive
194,alhamdulillah kendala bingung dlm moga manfaat semuax smga jdi yg masyarakat indonesia,positive
195,dah udah gak ganggu lg,positive
196,terimakasih aplikasi aplikasi bagus,positive
197,bantu jalan,positive
198,simple update an moga kembang arah mudah,positive
199,aplikasi mudah akses,positive
200,bantu cepat info mksh,positive
201,terimakasih dev registrasi mudah,positive
202,fihak sehat amin tangguh kuat sehat sukses,positive
203,vaksin sinovac percaya utk beraktifitas terimakasih vaksin gratis,positive
204,manfaat,positive
205,bantu utk orang ayo vaksin,positive
206,bagus hp gua kentang merk samsung jprime aja ko sertifikat nya muncul ngecek sertifikat vaksin situs pedulilindungi ngecek gua kaka gua ama bapa gua pas gua download apk nya sertifikat gua kaka gua bapa gua muncul apk nya mudah berpegian,positive
207,puas layan istri vaksinasi tanggal oktober dukung program perintah sambung terimakasih,positive
208,bantu terima kasih peduli lindung sukses trus jaya terima kasih,positive
209,mudah operasi brovo,positive
210,mudah erti,positive
211,aplikasih normal tdk kendala,positive
212,mantap bagus nihh  gk d scroll nyata ide tulis dikecilin alhamdulillah jdi,positive
213,enak tampil sederhana gak ruwet kayak versi,positive
214,bagus mudah banget pengunaannya tinggal klik klik doang mantap maju wes pedulilindungi   ,positive
215,aplikasi bantu bagus gampang,positive
216,aplikasi bantu manfaat,positive
217,senang sistem aplikasi bantu informasi dunia sehat kesan bantu,positive
218,mudah lancar,positive
219,bantu,positive
220,bantu proses lancar pergi belanja dimall giat sosial nya,positive
221,bantu terimakasih,positive
222,bantu dngn memudahkn dsgla akses,positive
223,bantu,positive
224,informatifsangat membantuterimakasih  ,positive
225,informasi covid anjur kait cegah laksana msemoga aplikasi duli lindung ganda lindung masyarakat indonesia,positive
226,bagus bantu,positive
227,efiseien bantu,positive
228,aman sehat good,positive
229,alhamdulillah buka,positive
230,bantu moga aplikasi,positive
231,bantu aman,positive
232,aplikasi butuh bagus,positive
233,moga aplikasi,positive
234,bantu ribet,positive
235,bantu laku giat publik jg dlm laku jalan jarak,positive
236,informasi,positive
237,simpel mudah akses,positive
238,pedulilindungi cegah sebar covid ,positive
239,bagus mambantu ,positive
240,ok bantu info covid,positive
241,aplikasi nya butuh  terima kasih admin yg tugas aplikasi lihat sertifikat vaksin hasil tes vaksin ragu download aplikasi ragu  kawan karna aplikasi ya utama mahasiswa smp mendownload ni aplikasi ngeluarin koata mb ok thank you and bye,positive
242,manfaat,positive
243,bantu nya kasih bintang,positive
244,mmbantu masuk gedung resmi perjlanan mnunjukan sertifikat vaksin,positive
245,bantu cari sertifikat vaksin covid,positive
246,terimakasih apresiasi ulas kait kendala yg alami aplikasi respon aplikasi mohon update orang alami kendala rupa terimakasih,positive
247,aplikasi mudah gausa bawa surat vaksin klo pergi yg gamau vaksin sbnrny gpp gausa jelekin indonesia jg biar indonesia cpt pulih semangat semuaaa,positive
248,terima kasih kerja keras bangsa indonesia,positive
249,bantu apkikasi sip cap jempol,positive
250,bagusdegan aplikasi mudah lihat sertifikat vaksin  ,positive
251,bagus aplikasi anak bangsa emang top  tangan covid negeri bebas covid ,positive
252,bagus bantu,positive
253,ktp kk pakai kk,positive
254,baharu aplikasi bagusmksh kak admin,positive
255,trimakasih aplikasi peduli lindung d sangkut kesehatn manusia informasi kesehatn dri,positive
256,bagus aplikasi ,positive
257,manfaat bantu,positive
258,bantu aplikasi,positive
259,proses nya gampanggampang susah,positive
260,pergi sehat,positive
261,aplikasi bagus bantu jalan pergi kondisi pandemi,positive
262,manfaat beraktifitas,positive
263,vaksin mudah beraktifitas,positive
264,apk bagus bermanpaat,positive
265,protokol sehat,positive
266,terimakasihskrg sy akses aplikasi lamahari vaksin smoga penguna mudah,positive
267,manfaat,positive
268,bagus mari kitaaa sukses peduli lindung,positive
269,mudah d aplikasi,positive
270,mudah cari praktis,positive
271,bagus lenkp,positive
272,sngat bantu keluarga,positive
273,terima kasih saran min,positive
274,bagus aplikasi pedulilindungi mantap,positive
275,batu cepat normalisasi covid moga corona covid cepat hilang dunia,positive
276,suka akurat bantu terima kasih sertifikat udah adamakasiii,positive
277,aplikasi bagus utk referensikantq,positive
278,aplikasi bantu patut jempol  terimakasi yg aplikasi dang                kendala,positive
279,mudah kece laku aktifitas rumah,positive
280,moga masuk sorga yg terlibataamiin,positive
281,cerdas,positive
282,warga negara yg baikwajib sertifikat vaksin,positive
283,aplikasi ringan,positive
284,pedulilindungi rupa aplikasi yg informasi akun pribadi perangkat hp tuju net perilaku aktivitas publik tekan laju tumbuh cegah sebar virus covid,positive
285,aplikasi nya manfaat,positive
286,aplikasinnya kerja,positive
287,and mudah erti,positive
288,puas bagus cepat akurat mantap jos,positive
289,saing manfaat daftar online ngak ribet ,positive
290,alhamdulillah vaksin tubuh sehat,positive
291,membabtu vaksin covid,positive
292,manfaat manfaat masyarakat ambil untung masyarakat,positive
293,bantu pergi,positive
294,manfaat,positive
295,bagus mudah ,positive
296,bagus simple cepat informasi nya,positive
297,bagus simple simpan data elektronik yg amancara masuk login crome stlah verifikasi unduh playsore masukgituuu bos,positive
298,selamat keluarga,positive
299,aplikasi bantu lihat sertivikat pokok aplikasi bagusss   ,positive
300,aplikasi peduli lindung rakyat indonesia covid hilang bumi indonesia amiin,positive
301,aplikasi hebat,positive
302,enak gk kartu vaksin aplikasi pedulilindungi ,positive
303,ni plikasinya,positive
304,terima kasih apk bantu bngat jdi syng bsa buka servifikat vaksin syng makasih,positive
305,bagus aplikasi mantap,positive
306,bagus bantu,positive
307,bantu yg tdk check out nyala gps check out deh,positive
308,bantu,positive
309,nyata aplksiny muas pas danlodtrs cek sertivikat vaksinny gampang tinggal cocokin namadan nik kk no hp sertivikat vaksinasin,positive
310,alhamdulilah sertifikat vaksin yg yg,positive
311,bermanpaat,positive
312,fitur atur jalan regulasi bantu,positive
313,manfaat,positive
314,hidup sehat nyaman,positive
315,bantu aplikasi pedulilidungi,positive
316,moga covid hilang new normal bebas covid moga data jaga indonesia bangkit     ,positive
317,teman yg stuck halaman tuju coba fontnya lg jg alami yg sblmnya,positive
318,apk nya bagus banget download gak kendala ntah ngeluh gak login untung lancar  aja tuhh,positive
319,aplikasi bantu cari informasi,positive
320,mudah,positive
321,enak banget pakek aplikasi pedulilindungi good,positive
322,terima kasih yg diberikn bantu sdh hasil setting ukur huruf,positive
323,praktis krn tdk,positive
324,moga sehat,positive
325,lumayan tinggal scan orang udh vaksin masukin vaksinasi sertifikat dapet kode otpnya banget,positive
326,manfaat,positive
327,bantu ,positive
328,aplikasi bagus hitung menit langsung kartu vaksin digital,positive
329,mantafffsangat bantu,positive
330,manfaat,positive
331,mksh sudh bisaaku ksh bntg ,positive
332,alhamdulillah g mslh atw kendala,positive
333,nyaman pergi aplikasi peduli lindung pandemi indonesia terbang domestik,positive
334,peduli lindung,positive
335,periksa jalan lancar,positive
336,manfaat,positive
337,bagus maju,positive
338,bagus kk  udah donlot sertipikat paksin,positive
339,aplikasi bantu,positive
340,manfaat,positive
341,vaksinasi sehat selamat,positive
342,kasih tau aja ga login update ko login hp klo layar tinggal kecilin fontukuran huruf hp opsi login tuju gitu kecilin font nya tinggal atur klik tampil pilih ukur huruf,positive
343,mudah pasuk ruang publik,positive
344,terimakasih bantu banget tekngkyu aplikasi peduli lindung    liat liat gue dah bilang keren banget   ,positive
345,bantu masyarakat aplikasi trims,positive
346,bagus gampang cek nya   ,positive
347,apps bantu,positive
348,aplikasi peduli lindung bantu,positive
349,bermamfaat informasi,positive
350,aplikasi   ,positive
351,apk bagus  terima kasih peduli lindung karna apk akses sertifikat vaksin  ,positive
352,muas,positive
353,mantap makasih dah bantu aq bantu jdi tau sertifikat vaksi,positive
354,kasih bintang deh krn ngprin,positive
355,apk batu lihat sertipikat vaksintinggal buka apk hp poko apk bantu makasih,positive
356,moga kovid berahir warga indonesia kendali vaksinasi virus indonesia harap warga vaksin indonesia bener sehat wasalam anak bangsa,positive
357,selamat bantu terang data bangsa indonesia moga sehat sukses peduli lindung sukses,positive
358,bantu aplikasi,positive
359,aplikasi bagus koreksi nik online identitas,positive
360,manfaat utk sdh vaksin swab antigent,positive
361,bantu,positive
362,terima kasih admin akses pedulilindungiterima kasih bantu ya   ,positive
363,mantap bantu,positive
364,manfaat,positive
365,gampang cepat,positive
366,mudah aplikasi,positive
367,bagus maksimal depa,positive
368,pokok cocok deh,positive
369,prestasi,positive
370,seka,positive
371,terima kasih batu dlm buka aplikasi ehac dlm peduli lindung moga masyarakat indonesia bantu dng aplikasi jalan pswtkakapal laut dll,positive
372,aplikasi bantu,positive
373,aman jalan,positive
374,aplikasi pedulilindungi manfaat,positive
375,terima kasih layan sertifikat mudah cepat  ,positive
376,senang lihat bahws vaksin,positive
377,aplikasi peduli lindung lindung virus covid,positive
378,alhamdulillah akses terima kasih,positive
379,bagus senang,positive
380,alhamdulillah,positive
381,bantu,positive
382,tahap aplikasi user friendly bug pakai seharihari good job,positive
383,aplikasi yg sgt bantu,positive
384,bagus sih,positive
385,alahamdulillah vaksin jalan,positive
386,layan puas,positive
387,terima kasih responnyasekarang aplikasi bs digunakansaya kadih bitang,positive
388,wawas yg luas,positive
389,bagus tuk jaga sehat tuk kontrol keehatan warga indonesia,positive
390,bagus slalu jaga prokes,positive
391,ribet mudah,positive
392,bagus kasih bintang,positive
393,men bantu,positive
394,trimakasih impormasinya,positive
395,mari dukung program perintah dg bervaksinasisayangi dirisayangi keluarga,positive
396,aplikasi yg bantu,positive
397,bagus dgn data yg lengkap smua jwb akn erti trimakasih pedulilindungi,positive
398,bagus,positive
399,moga allah azza wa jalla angkat corona,positive
400,mantaf gampang tinggal scan,positive
401,simpel muda,positive
402,sukses aplikasi pedulilindung mudah buka dn simple,positive
403,bagus mudah   ,positive
404,manfaat,positive
405,oke aplikasi yg cerdas,positive
406,alhamdulillah mudah urus,positive
407,gampang gk ribet,positive
408,mudah praktis efisien,positive
409,mkasih g ragu cari nakah anak istri makas pedulilidungi,positive
410,simple mudah   ,positive
411,terima kasih apk perbahaui,positive
412,masuk ambil order mall mudah,positive
413,manfaat,positive
414,suka bantu,positive
415,terimakasih peduli lindung mudah kartu vaksin,positive
416,ok ksi bintang krna mnurut apl bgus,positive
417,manfaat,positive
418,mantap aman dah masuk mall,positive
419,mantep sertifikat coba pake nomor hp daftarin vaksin terimakasih,positive
420,assalamualaikum trimakasih sd pelanyan trimakasih ami robbal alamin,positive
421,oke udah bagussangat bantu,positive
422,batu hilang sertifikat vaksinmakasi min,positive
423,aplikasi lengkap mudah aplikasi,positive
424,,positive
425,moga bantu aamiin,positive
426,ide kreatif kendali sebar covid,positive
427,bantu u cari info,positive
428,terima kasih sngat bantu,positive
429,manfaat,positive
430,manfaat moga,positive
431,aplikasi bentuk peduli perintah sehat selamat masyarakat,positive
432,moga sehat dunia,positive
433,terima kasih aq login   ,positive
434,bantu informasi,positive
435,aplikasi yg bantu,positive
436,bantu terimakasih,positive
437,mari faksin lupa pakai masker putus mata rantai sebar virus covid moga virus covid gerah negeri kitaataupun negara negara dunia amin ,positive
438,giat,positive
439,terimakasih pedulilindungi  ,positive
440,batu,positive
441,mudah privasi vaksin,positive
442,alhamdulillah fungsi mestinyatrims respon layan pakai aplikasi peduli lindungsemoga kes lamatan kesehatansemoga pandemi,positive
443,terima kasih pedulilindungi mengcek hasil vaksin tahap,positive
444,bagus dr versi ,positive
445,mudah pergi kemanamana ken sehat gues,positive
446,keren banget gampang konsultasi sehat,positive
447,bagus bantu,positive
448,mudah banget cari informasi,positive
449,postip bagus jempol aplikasi nya,positive
450,aplikasi yg membantutrus tingkat layan y maksimal  ,positive
451,aplikasi mudah bantu salam sehat,positive
452,mudah dlm jalan ,positive
453,ok banget aplikasi bantu,positive
454,yeh udh pakai hp yg layar nya coba unduh google terima kasih responnya team developer pedulindungi moga rating nya,positive
455,mudah giat seharihari,positive
456,terimah kasih vaksin moga sehat rejeki yg indonesia hebat,positive
457,nice aplikasi bantu,positive
458,berterimakasih alpikasi perdulilindung manfaat,positive
459,bantu,positive
460,mantappp sungguh bantu masyarakat,positive
461,aplikasi membantuapalagi pandemi gin,positive
462,aplikasi bagus,positive
463,susah amattapi baharu alhamdulillah,positive
464,aplikasi bagus,positive
465,bantu trimakasih,positive
466,bantu bro,positive
467,moga manfaat mudah dlm akses,positive
468,bagus bantu,positive
469,bantu   mffsementara kasihh bintang,positive
470,kasih jempol aja karna ga tau bilang pokok bantu aplikasi  ,positive
471,bagus nih udh jd ga crash melulu lg,positive
472,lihat ekartu vaksin,positive
473,terima kasih,positive
474,ya moga aja indonesia bebas virus korona covit,positive
475,bantu dlm jalan pesawat dn jalan,positive
476,bagusbisa mudah nge cek hasil vaksin   ,positive
477,mantap smuanya d akses,positive
478,traveler,positive
479,bantu mudah penggunaanya,positive
480,bagus bantu,positive
481,bantu mantap,positive
482,mudah aplikasi,positive
483,bagus bagus aja aplikasi kembang ya bug terimakasih,positive
484,mantap terima kasih,positive
485,yg vaksin,positive
486,manfaat,positive
487,terima kasih aplikasi inirespons cepat solusi nya sertifikat vaksin udah muncul aplikasi peduli lindung jempol admin akun peduli lindung anggota keluarga yg hp,positive
488,bantu,positive
489,d ni aplikasiya udh bs d bukatrus data ya smamksh,positive
490,bagusbermanfaat banget biar klw kmna  tinggl scan aj wk,positive
491,bantu manfaat,positive
492,pergi,positive
493,baguss,positive
494,aplikasi manfaat yg vaksin,positive
495,bagus banget aplikasi nya,positive
496,allahuakbar manfaat masyarakat indonesia aplikasi pedulilindungi kerja perintah indonesia bantu masyarakat indonesia tangan sakit coronavirusdisease covid pandemi virus landa dunia moga allah subhanahu wa ta  ala lindung sehat walafiat tenaga sehat medis negara republik indonesia cinta nkri harga mati allahuakbar,positive
497,terima kasih update aplikasi nya privasi bijak layout nya klik tuju potong gulir,positive
498,maaantaaab betuuul warga indonesia pergi data yg akurat kait sehat pribadi peran aktif cegah tular covid indonesia khusus provinsi ntt kota kupangtuhan yg maha kuasa kati lindung aamiin         ,positive
499,aplikasi yg bantu akses vaksinasi covid,positive
500,mantepp mudah yg vaksin ,positive
501,aplikasi x bgus n manfaat bg x tuju prjln hidupagar hidp x ymn n dmai alie s peduli lindung dr covid ttp cuci tngn pake msker n jaga jark dsbthanks,positive
502,sangga terimakasih,positive
503,bantu,positive
504,    ,positive
505,bantu terbang,positive
506,alhamdulillah biar gak sertifikat resmi pedulilindungi vaksin covid usaha jntuk perintah,positive
507,aplikasi nya bagus,positive
508,gk donlod rugi,positive
509,aplikasi kasih nya banget cobain ya,positive
510,moga sesuai harap,positive
511,masuk tbm pakai aplikasi sukses,positive
512,apk bantu,positive
513,bantu,positive
514,mantab bantu,positive
515,mudah lihat sertifikat vaksin masuk mall lalai pegawai cetak sertifikat vaksin nama nik sesuai nik nama tukar orang kadang operator dinas solusi urus tolong lalai pegawai,positive
516,bantu lancar jalan,positive
517,mudah lancar,positive
518,bagus apl bantu tau vaksin,positive
519,aplikasi nya bagus terimakasih,positive
520,bantu salam sehat,positive
521,aplikasi,positive
522,lumayan masuk mall,positive
523,update vaksin har doneappnya sempurnaterima kasih yg keluh app koreksi datanyakoreksi update hp appnyakalau app memuaskananda syukur aplikasi inisekali terima kasih dokter,positive
524,bagus ok maju trus,positive
525,aplikasi bantu aktifitas pedulilindungi,positive
526,,positive
527,terima kasih jokowi libat langsung langsung proses vaksin semangat layan hati   ,positive
528,layan sertifikat vaksin tanggap,positive
529,bantu,positive
530,cepat tanggap menindaklanjuti salam sehat,positive
531,alam peduli lindung manfaat suka,positive
532,bantu informasi vaksi nasi swep informasi covid terimaskis,positive
533,mantap kalo,positive
534,apknya lumayan bagus,positive
535,ragu download,positive
536,bantu  thx,positive
537,bantu beraktifitas,positive
538,yg faksin strtivikat muncul tunggu aja kirim nakes muncul chat whatsapp yg sedia peduli lindung email  moga bantu ,positive
539,bagus aplikasi bantu,positive
540,bagus sagat bantu mudah cari berita putar vaksin,positive
541,aplikasi m mmbantu,positive
542,aflikasi nya bagus suka  ,positive
543,oke mntap lnjut trussscovid gk prnh takutyg takut blm byr utangcovidd ud vaksinnjadi kebal dri virudsss,positive
544,bagus aplikasi,positive
545,trimakasihsudah nyaman masyarakat indonesia,positive
546,putus rantai pandemi covid sesuai program pemerintahdan sesuai prokes,positive
547,paham covid upaya cegah,positive
548,masyarakat vaksinasi capai target alas vaksin masyarakat ditakuttakuti vaksin tolong bikin program ya masak checkin mall ijin kamera on ya,positive
549,jgn lupa ambil starpikat paksin teman,positive
550,ok mantap bantu,positive
551,bantu,positive
552,bagus,positive
553,bergunadan bermanpaat rimakasih,positive
554,bagus muas mantap,positive
555,upgrade,positive
556,aplikasi bantu tau vaksin aja masukin tanggal lahir yg ribet tolong mudah makasih,positive
557,bagus cepat lancar aplilasinya,positive
558,aplikasi digunain trimakasih respon ,positive
559,aplikasi membantuuu sya khawatir surat vaksin hilang surat vaksin pergi nyata aplikasi lihat terang vaksin aplikasi membantuuu terima kasih devolpernya moga manfaat indonesia,positive
560,mantap,positive
561,terimaksih pedulilindungiaplikasi bantu yg sertifikat vaksinsalam pt torganda afd vii riau,positive
562,terimakasih perintah tlah mbuat apk,positive
563,bagus si bagus masuk aplikasi umur nya,positive
564,skr dah buka aplikasi makasih ya,positive
565,aplikasi bagus membantunamun faksin sertifikat nya y pah dahal masuk tgl tidaj y mohon bantu nya ya cip trimakasih karna manfaat warga trimaksaih ,positive
566,aman,positive
567,aplikasi yg positif,positive
568,versi mantap,positive
569,aplikasi bagus tingkat kwalitasnya ,positive
570,aplikasi mamberikan mudah pergi,positive
571,apk nya bantu,positive
572,update ui nya bagus akses lokasi udah gk,positive
573,bantu bukti bawa vaksin,positive
574,aplikasi yg bagus,positive
575,mudah interaksi,positive
576,baharu ok banget banget jalan,positive
577,bantu bagus,positive
578,bantu yenksss,positive
579,informasi vaksin bagus,positive
580,manfaat terimakasih peduli lindung,positive
581,apk bagus suntik vaksin silah vaksin cepat mumpung gratis prebayar,positive
582,aplikasi memebantubuat keprluan,positive
583,keren banget aplikasi,positive
584,ya bagus,positive
585,koneksi cepat,positive
586,alhamdulillah apk nya bantu,positive
